Stetson,5 - 24,337,
Idaho,3 - 26,338,
Savannah State,10 - 20,339,
Southern,6 - 25,340,
San Jose State,3 - 27,341,
Coppin State,8 - 25,342,
Kennesaw State,4 - 26,343,
South Carolina Upstate,3 - 26,344,
New Hampshire,3 - 24,345,
Alabama A&M,5 - 27,346,
Incarnate Word,2 - 25,347,
Alcorn State,6 - 21,348,
Mississippi Valley State,5 - 26,349,
UNC Asheville,2 - 26,350,
Delaware State,4 - 25,351,
Maryland Eastern Shore,5 - 25,352,
Chicago State,1 - 29,353
